    cm-1  microns   25%       38%       50%       75%       84.5%     95.6%
  11600.    .862    2.72E-07  2.50E-07  2.07E-07  1.83E-07  1.48E-07  1.34E-07
  11800.    .847    2.44E-07  2.27E-07  1.87E-07  1.58E-07  1.29E-07  1.17E-07
  12000.    .833    1.92E-07  1.73E-07  1.42E-07  1.24E-07  1.07E-07  9.95E-08
  12200.    .820    1.25E-07  1.14E-07  1.04E-07  9.98E-08  8.94E-08  8.35E-08
  12400.    .806    1.17E-07  1.01E-07  9.18E-08  8.79E-08  7.51E-08  7.06E-08
  12600.    .794    1.24E-07  1.07E-07  9.28E-08  8.46E-08  6.57E-08  5.87E-08
  12800.    .781    1.32E-07  1.14E-07  9.51E-08  8.39E-08  6.09E-08  4.85E-08
  13000.    .769    1.43E-07  1.21E-07  9.92E-08  8.20E-08  4.90E-08  3.92E-08
  13200.    .758    1.55E-07  1.25E-07  1.04E-07  7.84E-08  3.92E-08  3.13E-08
  13400.    .746    1.45E-07  1.18E-07  9.86E-08  6.83E-08  3.09E-08  2.26E-08
  13600.    .735    1.09E-07  8.89E-08  7.02E-08  4.80E-08  2.34E-08  0.00E+00
  13800.    .725    6.86E-08  5.94E-08  4.61E-08  3.58E-08  1.73E-08  0.00E+00
  14000.    .714    4.72E-08  3.87E-08  3.13E-08  2.79E-08  1.14E-08  0.00E+00
  14250.    .702    3.02E-08  2.46E-08  2.07E-08  2.07E-08  0.00E+00  0.00E+00
  18000.    .556    0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  22250.    .449    0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  22450.    .445    0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00
  27800.    .360    0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00  0.00E+00

